Epoch 143, Train Loss: 1.109348177909851
Epoch 144, Train Loss: 1.0994707345962524
Epoch 145, Train Loss: 1.0581231117248535
Epoch 146, Train Loss: 1.0871403217315674
Epoch 147, Train Loss: 1.0038785934448242
Epoch 148, Train Loss: 1.1101698875427246
Epoch 149, Train Loss: 1.1522340774536133
Epoch 150, Train Loss: 1.147309422492981
Epoch 151, Train Loss: 1.258202075958252
Epoch 152, Train Loss: 1.2652266025543213
Epoch 153, Train Loss: 1.007375717163086
Epoch 154, Train Loss: 0.9933243989944458
Epoch 155, Train Loss: 1.0407757759094238
Epoch 156, Train Loss: 1.0073294639587402
Epoch 157, Train Loss: 0.8575714826583862
Epoch 158, Train Loss: 0.9004404544830322
Epoch 159, Train Loss: 0.8917704224586487
Epoch 160, Train Loss: 0.8632099628448486
Epoch 161, Train Loss: 0.8383902311325073
Epoch 162, Train Loss: 0.9209649562835693
Epoch 163, Train Loss: 0.8725515604019165
Epoch 164, Train Loss: 0.9793586730957031
Epoch 165, Train Loss: 1.0863559246063232
Epoch 166, Train Loss: 1.1851303577423096
Epoch 167, Train Loss: 1.058645248413086
Epoch 168, Train Loss: 0.9367397427558899
Epoch 169, Train Loss: 0.7997688055038452
Epoch 170, Train Loss: 0.8526804447174072
Epoch 171, Train Loss: 1.0474867820739746
Epoch 172, Train Loss: 0.7699580192565918
Epoch 173, Train Loss: 0.8552526235580444
Epoch 174, Train Loss: 0.9955844879150391
Epoch 175, Train Loss: 0.8966792821884155
Epoch 176, Train Loss: 0.7981208562850952
Epoch 177, Train Loss: 0.8030141592025757
Epoch 178, Train Loss: 0.8236194849014282
Epoch 179, Train Loss: 0.7129579186439514
Epoch 180, Train Loss: 0.7597185373306274
Epoch 181, Train Loss: 0.7326202392578125
Epoch 182, Train Loss: 0.6609546542167664
Epoch 183, Train Loss: 0.719404399394989
Epoch 184, Train Loss: 0.6707766652107239
Epoch 185, Train Loss: 0.6390476822853088
Epoch 186, Train Loss: 0.6528446674346924
Epoch 187, Train Loss: 0.6435043811798096
Epoch 188, Train Loss: 0.5944522023200989
Epoch 189, Train Loss: 0.6251868605613708
Epoch 190, Train Loss: 0.6048683524131775
Epoch 191, Train Loss: 0.5737442374229431
Epoch 192, Train Loss: 0.5801258087158203
Epoch 193, Train Loss: 0.579679012298584
Epoch 194, Train Loss: 0.5513640642166138
Epoch 195, Train Loss: 0.5554651021957397
Epoch 196, Train Loss: 0.5537818670272827
Epoch 197, Train Loss: 0.54141765832901
Epoch 198, Train Loss: 0.52492755651474
Epoch 199, Train Loss: 0.5382242798805237
Epoch 200, Train Loss: 0.5433419346809387
Epoch 201, Train Loss: 0.5756992101669312
Epoch 202, Train Loss: 0.6534514427185059
Epoch 203, Train Loss: 0.757887065410614
Epoch 204, Train Loss: 0.7745518684387207
Epoch 205, Train Loss: 0.6681526899337769
Epoch 206, Train Loss: 0.5425003170967102
Epoch 207, Train Loss: 0.5541151762008667
Epoch 208, Train Loss: 0.624880313873291
Epoch 209, Train Loss: 0.5825432538986206
Epoch 210, Train Loss: 0.5211371183395386
Epoch 211, Train Loss: 0.5350620150566101
Epoch 212, Train Loss: 0.5507094264030457
Epoch 213, Train Loss: 0.5208626985549927
Epoch 214, Train Loss: 0.49277934432029724
Epoch 215, Train Loss: 0.5171148777008057
Epoch 216, Train Loss: 0.5173225402832031
Epoch 217, Train Loss: 0.4827043414115906
Epoch 218, Train Loss: 0.46890488266944885
Epoch 219, Train Loss: 0.4737101197242737
Epoch 220, Train Loss: 0.48293858766555786
Epoch 221, Train Loss: 0.4839702248573303
Epoch 222, Train Loss: 0.4800773561000824
Epoch 223, Train Loss: 0.4687846302986145
Epoch 224, Train Loss: 0.45721808075904846
Epoch 225, Train Loss: 0.4554665982723236
Epoch 226, Train Loss: 0.45836853981018066
Epoch 227, Train Loss: 0.44596731662750244
Epoch 228, Train Loss: 0.43409693241119385
Epoch 229, Train Loss: 0.432373583316803
Epoch 230, Train Loss: 0.4316783845424652
Epoch 231, Train Loss: 0.4267546534538269
Epoch 232, Train Loss: 0.43368110060691833
Epoch 233, Train Loss: 0.4503680467605591
Epoch 234, Train Loss: 0.4523948132991791
Epoch 235, Train Loss: 0.4488244652748108
Epoch 236, Train Loss: 0.44932326674461365
Epoch 237, Train Loss: 0.46068188548088074
Epoch 238, Train Loss: 0.4964781403541565
Epoch 239, Train Loss: 0.5261382460594177
Epoch 240, Train Loss: 0.5843083262443542
Epoch 241, Train Loss: 0.6315406560897827
Epoch 242, Train Loss: 0.707200288772583
Epoch 243, Train Loss: 0.6992241144180298
Epoch 244, Train Loss: 0.5893369913101196
Epoch 245, Train Loss: 0.5294259190559387
Epoch 246, Train Loss: 0.5482174158096313
Epoch 247, Train Loss: 0.578648030757904
Epoch 248, Train Loss: 0.5514160394668579
Epoch 249, Train Loss: 0.5587514638900757
Epoch 250, Train Loss: 0.5463118553161621
Epoch 251, Train Loss: 0.5250939130783081
Epoch 252, Train Loss: 0.49288153648376465
Epoch 253, Train Loss: 0.5377019047737122
Epoch 254, Train Loss: 0.5079174041748047
Epoch 255, Train Loss: 0.48191216588020325
Epoch 256, Train Loss: 0.4942850172519684
Epoch 257, Train Loss: 0.44138678908348083
Epoch 258, Train Loss: 0.45284193754196167
Epoch 259, Train Loss: 0.48231127858161926
Epoch 260, Train Loss: 0.4447327256202698
Epoch 261, Train Loss: 0.43537637591362
Epoch 262, Train Loss: 0.4235193133354187
Epoch 263, Train Loss: 0.4058178663253784
Epoch 264, Train Loss: 0.40397095680236816
Epoch 265, Train Loss: 0.4193931818008423
Epoch 266, Train Loss: 0.400016725063324
Epoch 267, Train Loss: 0.39107948541641235
Epoch 268, Train Loss: 0.3847543001174927
Epoch 269, Train Loss: 0.3781193494796753
Epoch 270, Train Loss: 0.3810845911502838
Epoch 271, Train Loss: 0.3825230896472931
Epoch 272, Train Loss: 0.3729134202003479
Epoch 273, Train Loss: 0.3679198920726776
Epoch 274, Train Loss: 0.3705636262893677
Epoch 275, Train Loss: 0.36771684885025024
Epoch 276, Train Loss: 0.3579806089401245
Epoch 277, Train Loss: 0.3648260831832886
Epoch 278, Train Loss: 0.3610859513282776
Epoch 279, Train Loss: 0.35084787011146545
Epoch 280, Train Loss: 0.34846511483192444
Epoch 281, Train Loss: 0.348233163356781
Epoch 282, Train Loss: 0.3496202230453491
Epoch 283, Train Loss: 0.34539106488227844
Epoch 284, Train Loss: 0.34602800011634827
Epoch 285, Train Loss: 0.34279441833496094
Epoch 286, Train Loss: 0.33714842796325684
Epoch 287, Train Loss: 0.3352419137954712
Epoch 288, Train Loss: 0.3355955481529236
Epoch 289, Train Loss: 0.3324543833732605
Epoch 290, Train Loss: 0.3291195034980774
Epoch 291, Train Loss: 0.33033227920532227
Epoch 292, Train Loss: 0.32953983545303345
Epoch 293, Train Loss: 0.3268703818321228
Epoch 294, Train Loss: 0.32253944873809814
Epoch 295, Train Loss: 0.32507574558258057
Epoch 296, Train Loss: 0.32852426171302795
Epoch 297, Train Loss: 0.3305525779724121
Epoch 298, Train Loss: 0.33402758836746216
Epoch 299, Train Loss: 0.34152019023895264
Epoch 300, Train Loss: 0.35395628213882446
Epoch 301, Train Loss: 0.3835117220878601
Epoch 302, Train Loss: 0.41583573818206787
Epoch 303, Train Loss: 0.5476812124252319
Epoch 304, Train Loss: 0.6639024019241333
Epoch 305, Train Loss: 0.9313445091247559
Epoch 306, Train Loss: 0.9289990663528442
Epoch 307, Train Loss: 0.5808687806129456
Epoch 308, Train Loss: 0.7377943992614746
Epoch 309, Train Loss: 0.8991033434867859
Epoch 310, Train Loss: 0.5038242340087891
