Epoch 143, Train Loss: 0.8871029615402222
Epoch 144, Train Loss: 0.9091712832450867
Epoch 145, Train Loss: 1.085425615310669
Epoch 146, Train Loss: 1.1965956687927246
Epoch 147, Train Loss: 1.2098485231399536
Epoch 148, Train Loss: 0.9422292709350586
Epoch 149, Train Loss: 1.0370590686798096
Epoch 150, Train Loss: 0.9035649299621582
Epoch 151, Train Loss: 0.8967702984809875
Epoch 152, Train Loss: 0.9303510785102844
Epoch 153, Train Loss: 0.8545897603034973
Epoch 154, Train Loss: 0.8476629257202148
Epoch 155, Train Loss: 0.8014795780181885
Epoch 156, Train Loss: 0.8497520685195923
Epoch 157, Train Loss: 0.8067827224731445
Epoch 158, Train Loss: 0.8232836127281189
Epoch 159, Train Loss: 0.7537458539009094
Epoch 160, Train Loss: 0.7684745788574219
Epoch 161, Train Loss: 0.717749297618866
Epoch 162, Train Loss: 0.6979598999023438
Epoch 163, Train Loss: 0.6894834637641907
Epoch 164, Train Loss: 0.6873494386672974
Epoch 165, Train Loss: 0.6851033568382263
Epoch 166, Train Loss: 0.659477949142456
Epoch 167, Train Loss: 0.6776479482650757
Epoch 168, Train Loss: 0.697684645652771
Epoch 169, Train Loss: 0.6597975492477417
Epoch 170, Train Loss: 0.6712837219238281
Epoch 171, Train Loss: 0.6508517265319824
Epoch 172, Train Loss: 0.6253738403320312
Epoch 173, Train Loss: 0.6441580653190613
Epoch 174, Train Loss: 0.619473934173584
Epoch 175, Train Loss: 0.6007682681083679
Epoch 176, Train Loss: 0.6088268756866455
Epoch 177, Train Loss: 0.5852587223052979
Epoch 178, Train Loss: 0.5867773294448853
Epoch 179, Train Loss: 0.5618847608566284
Epoch 180, Train Loss: 0.548737645149231
Epoch 181, Train Loss: 0.5492637157440186
Epoch 182, Train Loss: 0.535412073135376
Epoch 183, Train Loss: 0.53774493932724
Epoch 184, Train Loss: 0.5269880294799805
Epoch 185, Train Loss: 0.5144100785255432
Epoch 186, Train Loss: 0.5162086486816406
Epoch 187, Train Loss: 0.5117286443710327
Epoch 188, Train Loss: 0.5184261798858643
Epoch 189, Train Loss: 0.5511375069618225
Epoch 190, Train Loss: 0.6184819340705872
Epoch 191, Train Loss: 0.7265570163726807
Epoch 192, Train Loss: 0.9520092010498047
Epoch 193, Train Loss: 1.2861964702606201
Epoch 194, Train Loss: 1.243388056755066
Epoch 195, Train Loss: 0.6735003590583801
Epoch 196, Train Loss: 0.7753461599349976
Epoch 197, Train Loss: 0.8598631024360657
Epoch 198, Train Loss: 0.7463209629058838
Epoch 199, Train Loss: 0.6542196273803711
Epoch 200, Train Loss: 0.7928553819656372
Epoch 201, Train Loss: 0.6024271249771118
Epoch 202, Train Loss: 0.6645728349685669
Epoch 203, Train Loss: 0.5875259637832642
Epoch 204, Train Loss: 0.6309381723403931
Epoch 205, Train Loss: 0.5383862257003784
Epoch 206, Train Loss: 0.5925155878067017
Epoch 207, Train Loss: 0.5035625696182251
Epoch 208, Train Loss: 0.5448263883590698
Epoch 209, Train Loss: 0.49220532178878784
Epoch 210, Train Loss: 0.4948916435241699
Epoch 211, Train Loss: 0.4733012020587921
Epoch 212, Train Loss: 0.45221859216690063
Epoch 213, Train Loss: 0.45326295495033264
Epoch 214, Train Loss: 0.43537217378616333
Epoch 215, Train Loss: 0.43270325660705566
Epoch 216, Train Loss: 0.4197249412536621
Epoch 217, Train Loss: 0.4128407835960388
Epoch 218, Train Loss: 0.4103845953941345
Epoch 219, Train Loss: 0.39880096912384033
Epoch 220, Train Loss: 0.39857217669487
Epoch 221, Train Loss: 0.38246604800224304
Epoch 222, Train Loss: 0.38641566038131714
Epoch 223, Train Loss: 0.37751132249832153
Epoch 224, Train Loss: 0.3772518038749695
Epoch 225, Train Loss: 0.3841676115989685
Epoch 226, Train Loss: 0.4037146270275116
Epoch 227, Train Loss: 0.4087271988391876
Epoch 228, Train Loss: 0.37447765469551086
Epoch 229, Train Loss: 0.3552449345588684
Epoch 230, Train Loss: 0.34775403141975403
Epoch 231, Train Loss: 0.35496118664741516
Epoch 232, Train Loss: 0.36148035526275635
