Epoch 0, Train Loss: 198.15884399414062
Epoch 1, Train Loss: 113.94229125976562
Epoch 2, Train Loss: 48.61231231689453
Epoch 3, Train Loss: 35.49431610107422
Epoch 4, Train Loss: 31.17991065979004
Epoch 5, Train Loss: 28.713342666625977
Epoch 6, Train Loss: 26.13614273071289
Epoch 7, Train Loss: 23.528533935546875
Epoch 8, Train Loss: 20.953510284423828
Epoch 9, Train Loss: 19.11639404296875
Epoch 10, Train Loss: 18.177165985107422
Epoch 11, Train Loss: 17.64142608642578
Epoch 12, Train Loss: 17.131637573242188
Epoch 13, Train Loss: 16.714611053466797
Epoch 14, Train Loss: 16.404788970947266
Epoch 15, Train Loss: 16.004398345947266
Epoch 16, Train Loss: 15.468152046203613
Epoch 17, Train Loss: 14.895102500915527
Epoch 18, Train Loss: 14.304068565368652
Epoch 19, Train Loss: 13.72183895111084
Epoch 20, Train Loss: 13.249943733215332
Epoch 21, Train Loss: 12.909998893737793
Epoch 22, Train Loss: 12.646820068359375
Epoch 23, Train Loss: 12.39573860168457
Epoch 24, Train Loss: 12.142139434814453
Epoch 25, Train Loss: 11.8560791015625
Epoch 26, Train Loss: 11.577860832214355
Epoch 27, Train Loss: 11.309645652770996
Epoch 28, Train Loss: 11.058816909790039
Epoch 29, Train Loss: 10.884759902954102
Epoch 30, Train Loss: 10.736713409423828
Epoch 31, Train Loss: 10.54897689819336
Epoch 32, Train Loss: 10.37218189239502
Epoch 33, Train Loss: 10.191025733947754
Epoch 34, Train Loss: 9.992607116699219
Epoch 35, Train Loss: 9.790323257446289
Epoch 36, Train Loss: 9.629491806030273
Epoch 37, Train Loss: 9.479209899902344
Epoch 38, Train Loss: 9.322927474975586
Epoch 39, Train Loss: 9.138328552246094
Epoch 40, Train Loss: 8.985709190368652
Epoch 41, Train Loss: 8.805131912231445
Epoch 42, Train Loss: 8.653011322021484
Epoch 43, Train Loss: 8.508430480957031
Epoch 44, Train Loss: 8.367449760437012
Epoch 45, Train Loss: 8.182753562927246
Epoch 46, Train Loss: 8.011330604553223
Epoch 47, Train Loss: 7.839055061340332
Epoch 48, Train Loss: 7.680899143218994
Epoch 49, Train Loss: 7.509787559509277
Epoch 50, Train Loss: 7.361150741577148
Epoch 51, Train Loss: 7.180370330810547
Epoch 52, Train Loss: 7.011592864990234
Epoch 53, Train Loss: 6.856329441070557
Epoch 54, Train Loss: 6.73194694519043
Epoch 55, Train Loss: 6.513933181762695
Epoch 56, Train Loss: 6.483874320983887
Epoch 57, Train Loss: 6.494723796844482
Epoch 58, Train Loss: 6.154358386993408
Epoch 59, Train Loss: 6.200641632080078
Epoch 60, Train Loss: 5.980410575866699
Epoch 61, Train Loss: 5.791470527648926
Epoch 62, Train Loss: 5.786111831665039
Epoch 63, Train Loss: 5.725632667541504
Epoch 64, Train Loss: 5.583903789520264
Epoch 65, Train Loss: 5.2573723793029785
Epoch 66, Train Loss: 5.471403121948242
Epoch 67, Train Loss: 5.066636085510254
Epoch 68, Train Loss: 5.164533615112305
Epoch 69, Train Loss: 5.108114719390869
Epoch 70, Train Loss: 4.744032859802246
Epoch 71, Train Loss: 4.937255382537842
Epoch 72, Train Loss: 4.74006986618042
Epoch 73, Train Loss: 4.633356094360352
Epoch 74, Train Loss: 4.432117462158203
Epoch 75, Train Loss: 4.504040718078613
Epoch 76, Train Loss: 4.183908462524414
Epoch 77, Train Loss: 4.213550567626953
Epoch 78, Train Loss: 3.9632749557495117
Epoch 79, Train Loss: 3.9905569553375244
Epoch 80, Train Loss: 3.809311628341675
Epoch 81, Train Loss: 3.8009400367736816
Epoch 82, Train Loss: 3.6589980125427246
Epoch 83, Train Loss: 3.622183322906494
Epoch 84, Train Loss: 3.6194889545440674
Epoch 85, Train Loss: 3.5041794776916504
Epoch 86, Train Loss: 3.5663866996765137
Epoch 87, Train Loss: 3.372556209564209
Epoch 88, Train Loss: 3.2014503479003906
Epoch 89, Train Loss: 3.277474880218506
Epoch 90, Train Loss: 3.2068119049072266
Epoch 91, Train Loss: 3.2403440475463867
Epoch 92, Train Loss: 3.0054712295532227
Epoch 93, Train Loss: 2.9728026390075684
Epoch 94, Train Loss: 2.849381446838379
Epoch 95, Train Loss: 2.782017469406128
Epoch 96, Train Loss: 2.8385772705078125
Epoch 97, Train Loss: 3.2003424167633057
Epoch 98, Train Loss: 3.2472355365753174
Epoch 99, Train Loss: 3.351501226425171
Epoch 100, Train Loss: 3.151221752166748
Epoch 101, Train Loss: 3.2958498001098633
Epoch 102, Train Loss: 2.7350754737854004
Epoch 103, Train Loss: 3.096226692199707
Epoch 104, Train Loss: 3.562511920928955
Epoch 105, Train Loss: 3.174253463745117
Epoch 106, Train Loss: 3.1138601303100586
Epoch 107, Train Loss: 3.0708484649658203
Epoch 108, Train Loss: 2.831496238708496
Epoch 109, Train Loss: 2.608515739440918
Epoch 110, Train Loss: 2.5915675163269043
Epoch 111, Train Loss: 2.499727725982666
Epoch 112, Train Loss: 2.4617533683776855
Epoch 113, Train Loss: 2.3474183082580566
Epoch 114, Train Loss: 2.240457057952881
Epoch 115, Train Loss: 2.2270731925964355
Epoch 116, Train Loss: 2.190214157104492
Epoch 117, Train Loss: 2.1068334579467773
Epoch 118, Train Loss: 2.06317400932312
Epoch 119, Train Loss: 2.020379066467285
Epoch 120, Train Loss: 1.889578938484192
Epoch 121, Train Loss: 1.8743977546691895
Epoch 122, Train Loss: 1.7839901447296143
Epoch 123, Train Loss: 1.8206641674041748
Epoch 124, Train Loss: 1.7591110467910767
Epoch 125, Train Loss: 1.7826162576675415
Epoch 126, Train Loss: 1.7527306079864502
Epoch 127, Train Loss: 1.7829359769821167
Epoch 128, Train Loss: 1.8604660034179688
Epoch 129, Train Loss: 1.630210280418396
Epoch 130, Train Loss: 1.501284122467041
Epoch 131, Train Loss: 1.444158911705017
Epoch 132, Train Loss: 1.5387784242630005
Epoch 133, Train Loss: 1.5959978103637695
Epoch 134, Train Loss: 1.4903156757354736
Epoch 135, Train Loss: 1.4611928462982178
Epoch 136, Train Loss: 1.5503380298614502
Epoch 137, Train Loss: 1.563509225845337
Epoch 138, Train Loss: 1.6461613178253174
Epoch 139, Train Loss: 1.569195032119751
Epoch 140, Train Loss: 1.369199275970459
Epoch 141, Train Loss: 1.3868391513824463
Epoch 142, Train Loss: 1.4156490564346313
Epoch 143, Train Loss: 1.322648048400879
Epoch 144, Train Loss: 1.3277442455291748
Epoch 145, Train Loss: 1.356801986694336
Epoch 146, Train Loss: 1.3335930109024048
Epoch 147, Train Loss: 1.1603111028671265
Epoch 148, Train Loss: 1.1715070009231567
Epoch 149, Train Loss: 1.1815712451934814
Epoch 150, Train Loss: 1.0654058456420898
Epoch 151, Train Loss: 1.1545048952102661
Epoch 152, Train Loss: 1.1677794456481934
Epoch 153, Train Loss: 1.1225261688232422
Epoch 154, Train Loss: 1.1210157871246338
Epoch 155, Train Loss: 1.196216344833374
Epoch 156, Train Loss: 1.2498807907104492
Epoch 157, Train Loss: 1.0870988368988037
Epoch 158, Train Loss: 1.242539644241333
Epoch 159, Train Loss: 1.0659867525100708
Epoch 160, Train Loss: 1.0548421144485474
Epoch 161, Train Loss: 1.1050693988800049
Epoch 162, Train Loss: 0.9862704277038574
Epoch 163, Train Loss: 0.9498318433761597
Epoch 164, Train Loss: 0.9856623411178589
Epoch 165, Train Loss: 1.0202033519744873
Epoch 166, Train Loss: 0.9323996305465698
Epoch 167, Train Loss: 0.870621919631958
Epoch 168, Train Loss: 0.9059302806854248
Epoch 169, Train Loss: 0.8379018306732178
Epoch 170, Train Loss: 0.857209324836731
Epoch 171, Train Loss: 0.7669582366943359
Epoch 172, Train Loss: 0.7661700248718262
Epoch 173, Train Loss: 0.8686097860336304
Epoch 174, Train Loss: 0.8338258862495422
Epoch 175, Train Loss: 0.8046173453330994
Epoch 176, Train Loss: 0.8048889636993408
Epoch 177, Train Loss: 0.9564460515975952
Epoch 178, Train Loss: 0.8372437953948975
Epoch 179, Train Loss: 0.869957685470581
Epoch 180, Train Loss: 0.7502613067626953
Epoch 181, Train Loss: 0.7481702566146851
Epoch 182, Train Loss: 0.7149164080619812
Epoch 183, Train Loss: 0.7742465138435364
Epoch 184, Train Loss: 0.7940018177032471
Epoch 185, Train Loss: 0.8218501806259155
Epoch 186, Train Loss: 0.7767550945281982
Epoch 187, Train Loss: 0.7469661831855774
Epoch 188, Train Loss: 0.6920003890991211
Epoch 189, Train Loss: 0.6989480257034302
Epoch 190, Train Loss: 0.6270360946655273
Epoch 191, Train Loss: 0.6112421154975891
Epoch 192, Train Loss: 0.6136391758918762
Epoch 193, Train Loss: 0.6757456064224243
Epoch 194, Train Loss: 0.6104956269264221
Epoch 195, Train Loss: 0.5849420428276062
Epoch 196, Train Loss: 0.5457011461257935
Epoch 197, Train Loss: 0.6644316911697388
Epoch 198, Train Loss: 0.8134515285491943
Epoch 199, Train Loss: 0.8235729336738586
Epoch 200, Train Loss: 0.902765154838562
Epoch 201, Train Loss: 1.0168896913528442
Epoch 202, Train Loss: 0.8008970618247986
Epoch 203, Train Loss: 0.6679552793502808
Epoch 204, Train Loss: 0.7692869901657104
Epoch 205, Train Loss: 0.7179938554763794
Epoch 206, Train Loss: 0.6438479423522949
Epoch 207, Train Loss: 0.8674936294555664
Epoch 208, Train Loss: 0.7445735335350037
Epoch 209, Train Loss: 0.6796849966049194
Epoch 210, Train Loss: 0.6674932837486267
Epoch 211, Train Loss: 0.557261049747467
Epoch 212, Train Loss: 0.6061692237854004
Epoch 213, Train Loss: 0.5556330680847168
Epoch 214, Train Loss: 0.5350666046142578
Epoch 215, Train Loss: 0.5259833335876465
Epoch 216, Train Loss: 0.5169968605041504
Epoch 217, Train Loss: 0.48602956533432007
Epoch 218, Train Loss: 0.46428000926971436
Epoch 219, Train Loss: 0.4512399733066559
Epoch 220, Train Loss: 0.46409478783607483
Epoch 221, Train Loss: 0.4227803945541382
Epoch 222, Train Loss: 0.4381943345069885
Epoch 223, Train Loss: 0.41226768493652344
Epoch 224, Train Loss: 0.37379056215286255
Epoch 225, Train Loss: 0.3985269367694855
Epoch 226, Train Loss: 0.37793242931365967
Epoch 227, Train Loss: 0.37121546268463135
Epoch 228, Train Loss: 0.38880449533462524
Epoch 229, Train Loss: 0.3568294942378998
Epoch 230, Train Loss: 0.3623638153076172
Epoch 231, Train Loss: 0.38444197177886963
Epoch 232, Train Loss: 0.43676167726516724
Epoch 233, Train Loss: 0.5527434945106506
Epoch 234, Train Loss: 0.7924262285232544
Epoch 235, Train Loss: 0.9963548183441162
Epoch 236, Train Loss: 1.0615105628967285
Epoch 237, Train Loss: 0.5552383661270142
Epoch 238, Train Loss: 0.6444100141525269
Epoch 239, Train Loss: 0.7544457912445068
Epoch 240, Train Loss: 0.5615726113319397
Epoch 241, Train Loss: 0.6273182034492493
Epoch 242, Train Loss: 0.6031889915466309
