Epoch 0, Train Loss: 557.2088623046875
Epoch 1, Train Loss: 294.1536865234375
Epoch 2, Train Loss: 136.0254669189453
Epoch 3, Train Loss: 90.5204086303711
Epoch 4, Train Loss: 88.30018615722656
Epoch 5, Train Loss: 88.04762268066406
Epoch 6, Train Loss: 82.29043579101562
Epoch 7, Train Loss: 74.169921875
Epoch 8, Train Loss: 67.49505615234375
Epoch 9, Train Loss: 62.8382568359375
Epoch 10, Train Loss: 60.08561325073242
Epoch 11, Train Loss: 58.586177825927734
Epoch 12, Train Loss: 57.077598571777344
Epoch 13, Train Loss: 54.999961853027344
Epoch 14, Train Loss: 52.60834503173828
Epoch 15, Train Loss: 50.52555847167969
Epoch 16, Train Loss: 49.2098503112793
Epoch 17, Train Loss: 48.74470138549805
Epoch 18, Train Loss: 48.87548828125
Epoch 19, Train Loss: 49.17616653442383
Epoch 20, Train Loss: 49.238258361816406
Epoch 21, Train Loss: 48.81361389160156
Epoch 22, Train Loss: 47.88513946533203
Epoch 23, Train Loss: 46.59121322631836
Epoch 24, Train Loss: 45.230533599853516
Epoch 25, Train Loss: 44.05421447753906
Epoch 26, Train Loss: 43.2557373046875
Epoch 27, Train Loss: 42.894981384277344
Epoch 28, Train Loss: 42.88395309448242
Epoch 29, Train Loss: 43.00351333618164
Epoch 30, Train Loss: 43.00648498535156
Epoch 31, Train Loss: 42.798309326171875
Epoch 32, Train Loss: 42.37071990966797
Epoch 33, Train Loss: 41.80949783325195
Epoch 34, Train Loss: 41.189186096191406
Epoch 35, Train Loss: 40.596981048583984
Epoch 36, Train Loss: 40.10902404785156
Epoch 37, Train Loss: 39.77232360839844
Epoch 38, Train Loss: 39.52449035644531
Epoch 39, Train Loss: 39.29092025756836
Epoch 40, Train Loss: 39.05369567871094
Epoch 41, Train Loss: 38.80891418457031
Epoch 42, Train Loss: 38.580894470214844
Epoch 43, Train Loss: 38.336002349853516
Epoch 44, Train Loss: 38.03455352783203
Epoch 45, Train Loss: 37.6884880065918
Epoch 46, Train Loss: 37.34010314941406
Epoch 47, Train Loss: 37.03620910644531
Epoch 48, Train Loss: 36.77386474609375
